Food,Quantity,Calories (kcal),Carbohydrate (g),Protein (g),Fat (g)
White Rice, 80g, 110 kcal, 24g, 2g, 0g
Brown Rice, 80g, 90 kcal, 19g, 2g, 1g
Red Rice, 80g, 112 kcal, 23g, 2.4g, 0.8g
White Bread, 100g, 270 kcal, 50g, 9g, 3g
Pasta, 250g, 393 kcal, 79g, 14g, 1.7g
Roast Paan, 100g, 280 kcal, 55g, 8g, 3g
Thati Paan, 100g, 250 kcal, 50g, 8g, 2.5g
Coconut Roti, 100g, 284 kcal, 49.2g, 6.7g, 6.3g
White Noodles, 100g, 140 kcal, 30g, 4g, 1g
Idiyappam, 100g, 180 kcal, 40g, 3g, 0.5g
Hoppers, 30g, 120 kcal, 20g, 3g, 4g
Kiribath, 100g, 150 kcal, 16g, 1.9g, 7g
Lunu Miris, 10g, 12 kcal, 1.43g, 0.87g, 0.04g
Boiled Cowpea, 100g, 116 kcal, 21g, 7.7g, 0.5g
Coconut Sambal, 50g, 157 kcal, 6.4g, 2g, 13.7g
Papadam, 7g, 21 kcal, 3.7g, 1g, 1g
Egg, 47g, 70 kcal, 0.4g, 6g, 5g
Dhal Curry with coconut milk, 50g, 80 kcal, 12g, 5g, 3.5g
Dhal Curry, 100g, 100 kcal, 14g, 7g, 2g
Yellow Rice, 150g, 469 kcal, 75g, 16.9g, 18.8g
Fried Halmesso, 15g, 75 kcal, 0g, 7.5g, 4.5g
Fried Karawala, 15g, 85 kcal, 0g, 9g, 5g
Kola Mallum, 50g, 80 kcal, 5g, 1g, 5g
Cucumber Salad, 100g, 35 kcal, 7g, 1g, 0g
Vegetable curry with coconut milk, 100g, 120 kcal, 10g, 1g, 9g
Vegetable curry with coconut oil, 100g, 80 kcal, 12g, 1g, 5g
Kiri Hodi, 100g, 100 kcal, 4g, 1g, 9g
Beetroot curry with coconut milk, 100g, 89 kcal, 11g, 2g, 4.7g
Soya meat curry with coconut milk, 100g, 110 kcal, 13g, 11g, 0.6g
