name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
3/4 Sit-Up,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lie down on the floor and secure your feet. Your legs should be bent at the knees.,strength
90/90 Hamstring,push,beginner,None,body only,hamstrings,calves,None,None,None,None,None,None,None,None,None,"Lie on your back, with one leg extended straight out.",stretching
Ab Crunch Machine,pull,intermediate,isolation,machine,abdominals,None,None,None,None,None,None,None,None,None,None,Select a light resistance and sit down on the ab machine placing your feet under the pads provided and grabbing the top handles. Your arms should be bent at a 90 degree angle as you rest the triceps on the pads provided. This will be your starting position.,strength
Ab Roller,pull,intermediate,compound,other,abdominals,shoulders,None,None,None,None,None,None,None,None,None,Hold the Ab Roller with both hands and kneel on the floor.,strength
Adductor,static,intermediate,isolation,foam roll,adductors,None,None,None,None,None,None,None,None,None,None,Lie face down with one leg on a foam roll.,stretching
Adductor/Groin,static,intermediate,None,None,adductors,None,None,None,None,None,None,None,None,None,None,Lie on your back with your feet raised towards the ceiling.,stretching
Advanced Kettlebell Windmill,push,intermediate,isolation,kettlebells,abdominals,glutes,hamstrings,shoulders,None,None,None,None,None,None,None,Clean and press a kettlebell overhead with one arm.,strength
Air Bike,pull,beginner,compound,body only,abdominals,None,None,None,None,None,None,None,None,None,None,"Lie flat on the floor with your lower back pressed to the ground. For this exercise, you will need to put your hands beside your head. Be careful however to not strain with the neck as you perform it. Now lift your shoulders into the crunch position.",strength
All Fours Quad Stretch,static,intermediate,None,body only,quadriceps,quadriceps,None,None,None,None,None,None,None,None,None,"Start off on your hands and knees, then lift your leg off the floor and hold the foot with your hand.",stretching
Alternate Hammer Curl,pull,beginner,isolation,dumbbell,biceps,forearms,None,None,None,None,None,None,None,None,None,Stand up with your torso upright and a dumbbell in each hand being held at arms length. The elbows should be close to the torso.,strength
Alternate Heel Touchers,pull,beginner,isolation,body only,abdominals,None,None,None,None,None,None,None,None,None,None,Lie on the floor with the knees bent and the feet on the floor around 18-24 inches apart. Your arms should be extended by your side. This will be your starting position.,strength
Alternate Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,biceps,forearms,None,None,None,None,None,None,None,None,None,Sit down on an incline bench with a dumbbell in each hand being held at arms length. Tip: Keep the elbows close to the torso.This will be your starting position.,strength
Alternate Leg Diagonal Bound,push,beginner,compound,None,quadriceps,abductors,adductors,calves,glutes,hamstrings,None,None,None,None,None,Assume a comfortable stance with one foot slightly in front of the other.,plyometrics
Alternating Cable Shoulder Press,push,beginner,compound,cable,shoulders,triceps,None,None,None,None,None,None,None,None,None,Move the cables to the bottom of the tower and select an appropriate weight.,strength
Alternating Deltoid Raise,push,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,"In a standing position, hold a pair of dumbbells at your side.",strength
Alternating Floor Press,push,beginner,compound,kettlebells,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,Lie on the floor with two kettlebells next to your shoulders.,strength
Alternating Hang Clean,pull,intermediate,compound,kettlebells,hamstrings,biceps,calves,forearms,glutes,lower back,traps,None,None,None,None,"Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.",strength
Alternating Kettlebell Press,push,intermediate,compound,kettlebells,shoulders,triceps,None,None,None,None,None,None,None,None,None,Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so.,strength
Alternating Kettlebell Row,pull,intermediate,isolation,kettlebells,middle back,biceps,lats,None,None,None,None,None,None,None,None,Place two kettlebells in front of your feet. Bend your knees slightly and push your butt out as much as possible. As you bend over to get into the starting position grab both kettlebells by the handles.,strength
Alternating Renegade Row,pull,expert,compound,kettlebells,middle back,abdominals,biceps,chest,lats,triceps,None,None,None,None,None,"Place two kettlebells on the floor about shoulder width apart. Position yourself on your toes and your hands as though you were doing a pushup, with the body straight and extended. Use the handles of the kettlebells to support your upper body. You may need to position your feet wide for support.",strength
Ankle Circles,pull,beginner,isolation,None,calves,None,None,None,None,None,None,None,None,None,None,Use a sturdy object like a squat rack to hold yourself.,stretching
Ankle On The Knee,static,beginner,None,None,glutes,None,None,None,None,None,None,None,None,None,None,"From a lying position, bend your knees and keep your feet on the floor.",stretching
Anterior Tibialis-SMR,static,intermediate,None,other,calves,None,None,None,None,None,None,None,None,None,None,Begin seated on the ground with your legs bent and your feet on the floor.,stretching
Anti-Gravity Press,push,beginner,compound,barbell,shoulders,middle back,traps,triceps,None,None,None,None,None,None,None,Place a bar on the ground behind the head of an incline bench.,strength
Arm Circles,push,beginner,isolation,None,shoulders,traps,None,None,None,None,None,None,None,None,None,Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.,stretching
Arnold Dumbbell Press,push,intermediate,compound,dumbbell,shoulders,triceps,None,None,None,None,None,None,None,None,None,Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl.,strength
Around The Worlds,push,intermediate,compound,dumbbell,chest,shoulders,None,None,None,None,None,None,None,None,None,"Lay down on a flat bench holding a dumbbell in each hand with the palms of the hands facing towards the ceiling. Tip: Your arms should be parallel to the floor and next to your thighs. To avoid injury, make sure that you keep your elbows slightly bent. This will be your starting position.",strength
Atlas Stone Trainer,pull,intermediate,compound,other,lower back,biceps,forearms,glutes,hamstrings,quadriceps,None,None,None,None,None,"This trainer is effective for developing Atlas Stone strength for those who don't have access to stones, and are typically made from bar ends or heavy pipe.",strongman
Atlas Stones,pull,expert,compound,other,lower back,abdominals,adductors,biceps,calves,forearms,glutes,hamstrings,middle back,quadriceps,traps,"Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold.",strongman
Axle Deadlift,pull,intermediate,compound,other,lower back,forearms,glutes,hamstrings,middle back,quadriceps,traps,None,None,None,None,"Approach the bar so that it is centered over your feet. You feet should be about hip width apart. Bend at the hip to grip the bar at shoulder width, allowing your shoulder blades to protract. Typically, you would use an over/under grip.",strongman
Back Flyes - With Bands,pull,beginner,compound,bands,shoulders,middle back,triceps,None,None,None,None,None,None,None,None,Run a band around a stationary post like that of a squat rack.,strength
Backward Drag,pull,beginner,compound,other,quadriceps,calves,forearms,glutes,hamstrings,lower back,None,None,None,None,None,"Load a sled with the desired weight, attaching a rope or straps to the sled that you can hold onto.",strongman
Backward Medicine Ball Throw,push,beginner,compound,medicine ball,shoulders,None,None,None,None,None,None,None,None,None,None,"This exercise is best done with a partner. If you lack a partner, the ball can be thrown and retrieved or thrown against a wall.",plyometrics
Balance Board,None,beginner,compound,other,calves,hamstrings,quadriceps,None,None,None,None,None,None,None,None,Place a balance board in front of you.,strength
Ball Leg Curl,pull,beginner,isolation,exercise ball,hamstrings,calves,glutes,None,None,None,None,None,None,None,None,Begin on the floor laying on your back with your feet on top of the ball.,strength
